Site,Col_Company,Col_Recruit,Col_detail,Col_url
Jobkorea,"한국정보기술㈜
강소기업",[한국정보기술(주)] 수도권본부-교통센터 데이터분석 인력 채용,"['경력무관', '학력무관', '계약직', '경기 성남시', 'D-4']",https://www.jobkorea.co.kr/Recruit/GI_Read/46544770?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=11
Jobkorea,㈜화이트스캔,[데이터분석] 경력직 채용,"['경력', '대졸↑', '정규직', '서울 용산구', 'D-1']",https://www.jobkorea.co.kr/Recruit/GI_Read/46682985?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=12
Jobkorea,부산대학교 지능물류빅데이터연구소,[부산대KDT]개발자과정교육생모집(AI데이터분석풀스택웹개발자양성과정),"['신입', '대졸↑', '정규직', '부산 금정구', '상시채용']",https://www.jobkorea.co.kr/Recruit/GI_Read/46467878?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=13
Jobkorea,"㈜파오스파트너스
수상기업","(주)파오스파트너스 -DB관리, DB생성, DB분석 채용","['경력무관', '초대졸↑', '정규직', '서울 용산구', 'D-16']",https://www.jobkorea.co.kr/Recruit/GI_Read/46448573?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=14
Jobkorea,글로빛㈜,"[글로빛] 빅데이터분석,AI(머신러닝,딥러닝) 가능한 박사님 모십니다","['경력무관', '박사↑', '프리랜서', '서울 서초구', '상시채용']",https://www.jobkorea.co.kr/Recruit/GI_Read/46543478?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=15
Jobkorea,"코웨이㈜
1000대기업
코스피
수상기업",[코웨이]25년 3월 계약직 채용(업무지원/데이터분석/실험보조/품질관리),"['경력', '학력무관', '계약직', '서울 구로구', '상시채용']",https://www.jobkorea.co.kr/Recruit/GI_Read/46526774?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=16
Jobkorea,㈜써치엠,[마케팅지원팀-신입/경력] 매체정산/영업지원/데이터분석/매체커뮤니케이션,"['신입·경력', '초대졸↑', '정규직', '서울 강남구', 'D-4']",https://www.jobkorea.co.kr/Recruit/GI_Read/46542300?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=17
Jobkorea,잡코리아(유),[잡코리아] 영업기획 담당 (3년 이상),"['경력3년↑', '학력무관', '정규직', '서울 서초구', 'D-7']",https://www.jobkorea.co.kr/Recruit/GI_Read/46651539?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=18
Jobkorea,"㈜싸이트플래닝건축사사무소
강소기업","도시공학& 데이터분석 공고 모집 (정규직, 경력직) [부산]","['경력3년↑', '대졸↑', '정규직', '부산 동구', 'D-17']",https://www.jobkorea.co.kr/Recruit/GI_Read/46630575?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=19
Jobkorea,"한화손해보험㈜
한화그룹
1000대기업",경력직 채용 - 데이터 분석,"['경력', '대졸↑', '정규직', '서울 영등포구', 'D-4']",https://www.jobkorea.co.kr/Recruit/GI_Read/46701162?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=20
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46590556?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46635330?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46401335?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46579479?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46588626?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46616519?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46541225?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46467641?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46618236?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46618870?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46689217?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46693925?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46694754?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46695427?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46695035?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46683855?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46685231?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.jobkorea.co.kr/Recruit/GI_Read/46691054?Oem_Code=C1&logpath=1
Jobkorea,,,[],https://www.albamon.com/jobs/detail/108538182?ng=1&searchKeyword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D
Jobkorea,,,[],https://www.albamon.com/jobs/detail/108538157?ng=1&searchKeyword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D
Jobkorea,,,[],https://www.albamon.com/jobs/detail/108667285?ng=1&searchKeyword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D
Jobkorea,,,[],https://www.albamon.com/jobs/detail/108644649?ng=1&searchKeyword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D
Jobkorea,,,[],https://www.albamon.com/jobs/detail/108603694?ng=1&searchKeyword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D
Jobkorea,,,[],https://www.albamon.com/jobs/detail/108575251?ng=1&searchKeyword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D
Jobkorea,,,[],https://www.albamon.com/jobs/detail/108575875?ng=1&searchKeyword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D
Jobkorea,,,[],https://www.albamon.com/jobs/detail/108575031?ng=1&searchKeyword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D
Jobkorea,,,[],https://www.albamon.com/jobs/detail/108513038?ng=1&searchKeyword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D
Jobkorea,,,[],https://www.albamon.com/jobs/detail/108478310?ng=1&searchKeyword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D
Jobkorea,,,[],https://www.albamon.com/jobs/detail/108485974?ng=1&searchKeyword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D
Jobkorea,,,[],https://www.albamon.com/jobs/detail/108538145?ng=1&searchKeyword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D
